SourceName,FileType,FileName,FileSize,DeletedOn
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$I02WW5O,$I,C:\Users\esteb\OneDrive\Documents\Audacity,0,2024-06-25 15:39:45
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$I1BJCAX,$I,C:\Users\esteb\OneDrive\Desktop\my pamilee and prends\tito john,19854816,2024-06-25 15:33:28
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$I1DMF34,$I,C:\Users\esteb\OneDrive\Documents\Arduino,3383559,2024-06-25 15:39:45
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$I4GX6XD.txt,$I,C:\Users\esteb\Desktop\i luv my bf.txt,0,2024-07-04 07:25:31
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$I69404D.txt,$I,C:\Users\esteb\Desktop\hi hello.txt,8,2024-07-04 07:10:15
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IAC27GR.pdf,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\chuchu ni father\Authorization-Estebal.pdf,33821,2024-06-25 15:38:18
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IAZHXXC.url,$I,C:\Users\esteb\OneDrive\Documents\Glena's Notebook.url,174,2024-06-25 15:40:39
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IBPQFH2,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\my pamilee and prends\for father,3705272,2024-06-25 15:36:13
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$ICCUMD6.lnk,$I,C:\Users\esteb\Desktop\Google Sheets.lnk,2091,2024-06-25 15:50:12
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$ICYL63F,$I,C:\Users\esteb\OneDrive\Desktop\my pamilee and prends\id,2112458,2024-06-25 15:33:34
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$ID4RD75,$I,C:\Users\esteb\OneDrive\Desktop\my pamilee and prends\lugaw fusion,43562481,2024-06-25 15:33:36
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IEA3JQP,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\passport,7908375,2024-06-25 15:37:28
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$II9L197,$I,C:\Users\esteb\OneDrive\Documents\NetBeansProjects,28427,2024-06-25 15:40:04
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IIE5DSV,$I,C:\Users\esteb\OneDrive\Documents\Sound recordings,602921,2024-06-25 15:40:25
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IJ62YDF,$I,C:\Users\esteb\OneDrive\Documents\Prolog,0,2024-06-25 15:40:07
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IJKJTET.pdf,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\Book1-3.pdf,24499,2024-06-25 15:33:56
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IK1XRVL,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\my pamilee and prends\ate narce,0,2024-06-25 15:35:47
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IKBF9GX,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\chuchu ni father\father,0,2024-06-25 15:38:52
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$ILGBJDB,$I,C:\Users\esteb\OneDrive\Documents\MATLAB,2363,2024-06-25 15:40:01
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IOECLDC,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\my pamilee and prends\elaena,672740,2024-06-25 15:35:59
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IP85RWI.lnk,$I,C:\Users\esteb\Desktop\Google Slides.lnk,2091,2024-06-25 15:50:14
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$ISSGCKS.docx,$I,C:\Users\esteb\OneDrive\Documents\Document (2).docx,12085,2024-06-25 08:28:40
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IW1T9HF.lnk,$I,C:\Users\esteb\OneDrive\Notion.lnk,2293,2024-06-25 15:32:12
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IW9C23D.lnk,$I,C:\Users\esteb\Desktop\Personal - Edge.lnk,2455,2024-06-25 08:16:03
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IW9W03T,$I,C:\Users\esteb\OneDrive\Desktop\pamilee and prends\elaena,677630,2024-06-25 15:37:14
C:\$Recycle.Bin\S-1-5-21-3384429417-2478707342-271659947-1001\$IX8XTR2.lnk,$I,C:\Users\esteb\Desktop\Google Docs.lnk,2079,2024-06-25 15:50:08
