SourceName,FileType,FileName,FileSize,DeletedOn
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ILM1OH0.zip,$I,C:\Users\esteb\AppData\Local\Google\DriveFS\103214433498922999169\lost_and_found\term 2.zip,1185870708,2024-05-03 09:49:07
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ILM8PBY.2,$I,C:\Users\esteb\AppData\Local\Temp\u2ms.2,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IMAZ4W0.4,$I,C:\Users\esteb\AppData\Local\Temp\u2cw.4,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IO4IX69.8,$I,C:\Users\esteb\AppData\Local\Temp\u2b8.8,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IOBN89G.ova,$I,C:\Users\esteb\AppData\Local\Google\DriveFS\103214433498922999169\lost_and_found\Demo-Win10-v3-1.ova,22412908032,2024-05-03 09:49:07
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IOHQFDV.7,$I,C:\Users\esteb\AppData\Local\Temp\u2eo.7,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IP5TV38.lnk,$I,C:\Users\esteb\OneDrive\Desktop\term 2.lnk,998,2024-05-05 08:22:40
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IPDA0BE.3,$I,C:\Users\esteb\AppData\Local\Temp\u2co.3,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IPEBIKZ.exe,$I,C:\Users\esteb\Downloads\Installers\EZTools-R1122.2.6.1(IN).exe,48347936,2024-05-10 18:50:22
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IQZPPGY.a,$I,C:\Users\esteb\AppData\Local\Temp\u2co.a,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IS9TBV3.5,$I,C:\Users\esteb\AppData\Local\Temp\u2b8.5,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ISGKLN7.d,$I,C:\Users\esteb\AppData\Local\Temp\u2uw.d,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ISUSXN0.d,$I,C:\Users\esteb\AppData\Local\Temp\u2b8.d,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IT8WDUK.6,$I,C:\Users\esteb\AppData\Local\Temp\u2b8.6,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ITA2M8M.2,$I,C:\Users\esteb\AppData\Local\Temp\u2co.2,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ITPHH68.0,$I,C:\Users\esteb\AppData\Local\Temp\u2pc.0,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ITRKOAZ.3,$I,C:\Users\esteb\AppData\Local\Temp\u2a8.3,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$ITTH2R6.6,$I,C:\Users\esteb\AppData\Local\Temp\u2a8.6,0,2023-03-09 11:20:56
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IU0DMCP.2,$I,C:\Users\esteb\AppData\Local\Temp\u2y0.2,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IUNBRVZ,$I,C:\Users\esteb\OneDrive\Desktop\nssecu3-mp2\RBCmd,0,2024-06-12 18:10:05
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IW0PN58.9,$I,C:\Users\esteb\AppData\Local\Temp\u2cw.9,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IWY0SRT.8,$I,C:\Users\esteb\AppData\Local\Temp\u2wg.8,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IXFI2EI.0,$I,C:\Users\esteb\AppData\Local\Temp\u2cw.0,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IY6GHQZ.c,$I,C:\Users\esteb\AppData\Local\Temp\u2ms.c,0,2023-03-09 11:20:57
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IYUKS84.c,$I,C:\Users\esteb\AppData\Local\Temp\u2y0.c,0,2023-03-09 11:20:58
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IZ9IGVP.zip,$I,C:\Users\esteb\OneDrive\Desktop\csmodel_project-main.zip,987324,2024-05-22 00:50:37
C:\$Recycle.Bin\S-1-5-21-1040129735-4229295662-3279547778-1001\$IZSJ5JQ.a,$I,C:\Users\esteb\AppData\Local\Temp\u2wg.a,0,2023-03-09 11:20:58
