KeyName,LnkName,KeyLastWriteTimestamp
odbc data source|42e93af66b0179cc,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (32-bit).lnk,2024-06-30 15:47:17
odbc data source|9740663b465a3030,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\ODBC Data Sources (64-bit).lnk,2024-06-30 15:47:17
office language |eaf47eea357b7c8d,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Office Language Preferences.lnk,2024-06-30 15:47:17
on-screen keyboa|f2ba38b958df3569,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessibility\On-Screen Keyboard.lnk,2024-06-30 15:47:18
onedrive for bus|b59deba8fad44732,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneDrive for Business.lnk,2024-06-30 15:47:17
onedrive.lnk|b79d920ebd7ed879,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneDrive.lnk,2024-06-30 15:47:17
onenote.lnk|be2aa75cdaced0c1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\OneNote.lnk,2024-06-30 15:47:17
outlook.lnk|d5035fc678e8492e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Outlook.lnk,2024-06-30 15:47:17
performance moni|7b4ccc410e6c9b2,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Performance Monitor.lnk,2024-06-30 15:47:17
powerpoint.lnk|86cd638959ed7024,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\PowerPoint.lnk,2024-06-30 15:47:17
publisher.lnk|a259b0c2fd8cb497,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Publisher.lnk,2024-06-30 15:47:17
recoverydrive.ln|bd17aaeacd8dade9,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\RecoveryDrive.lnk,2024-06-30 15:47:17
registry editor.|5ddc248726504021,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Registry Editor.lnk,2024-06-30 15:47:17
remote desktop c|41f5bddb6f1b946e,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk,2024-06-30 15:47:17
resource monitor|f0b52ad95c113be1,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Resource Monitor.lnk,2024-06-30 15:47:17
run.lnk|4032396f7e7d2759,c:\users\esteb\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Run.lnk,2024-06-30 15:47:18
services.lnk|701369eeb35d6005,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\services.lnk,2024-06-30 15:47:17
shared.lnk|f3271731203cf3f5,C:\Program Files (x86)\VMware\VMware Workstation\Resources\shared.lnk,2024-06-30 15:47:18
skype for busine|29030a2051d94a58,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Microsoft Office Tools\Skype for Business Recording Manager.lnk,2024-06-30 15:47:17
skype for busine|bb0adc76c2d089c7,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Skype for Business.lnk,2024-06-30 15:47:17
