ApplicationName,ProgramId,FileKeyLastWriteTimestamp,SHA1,IsOsComponent,FullPath,Name,FileExtension,LinkDate,ProductName,Size,Version,ProductVersion,LongPathHash,BinaryType,IsPeFile,BinFileVersion,BinProductVersion,Usn,Language,Description
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,d6a6761712060cd1788fe9b7b9225da32ffd182b,True,c:\windows\syswow64\runonce.exe,runonce.exe,.exe,2018-09-19 20:29:35,microsoft® windows® operating system,75776,10.0.22621.3672 (winbuild.160101.0800),10.0.22621.3672,,pe32_i386,False,10.0.22621.3672,10.0.22621.3672,989519696,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,953fb3d50404336d9e3b220fd15f770e90a369a0,True,c:\windows\system32\runtimebroker.exe,RuntimeBroker.exe,.exe,2082-10-02 21:17:26,microsoft® windows® operating system,133656,10.0.22621.3672 (winbuild.160101.0800),10.0.22621.3672,,pe64_amd64,False,10.0.22621.3672,10.0.22621.3672,989818720,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,da70df7ef2f87bfedbea9fe53169b16e0cf4b12e,True,c:\windows\syswow64\sc.exe,sc.exe,.exe,2091-04-27 15:35:40,microsoft® windows® operating system,65024,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe32_i386,False,10.0.22621.1,10.0.22621.1,951228928,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,ece3efdb9bac287fa85088e49264af099eb32313,True,c:\windows\system32\sc.exe,sc.exe,.exe,2097-06-30 22:29:19,microsoft® windows® operating system,98304,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,949885560,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,85e046de3c2de1b4c85e57ba00cf7151b3d59f24,True,c:\windows\system32\schtasks.exe,schtasks.exe,.exe,2041-09-15 19:18:44,microsoft® windows® operating system,258048,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe64_amd64,False,10.0.22621.1,10.0.22621.1,948599976,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,3a8efd34e448b6e8905ddff2b49816c233927acd,True,c:\windows\syswow64\schtasks.exe,schtasks.exe,.exe,2020-09-14 00:02:05,microsoft® windows® operating system,202240,10.0.22621.1 (winbuild.160101.0800),10.0.22621.1,,pe32_i386,False,10.0.22621.1,10.0.22621.1,949419216,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,04af3e9d00b63ab2825f3d750ee102808810f512,True,c:\windows\system32\sdbinst.exe,sdbinst.exe,.exe,1983-09-07 18:57:17,microsoft® windows® operating system,212992,10.0.22621.3527 (winbuild.160101.0800),10.0.22621.3527,,pe64_amd64,False,10.0.22621.3527,10.0.22621.3527,989848408,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-07-02 09:40:06,94164043a05691d49ea20eb813c8d9af27bd0df6,True,c:\windows\system32\sdiagnhost.exe,sdiagnhost.exe,.exe,2023-02-08 17:58:21,microsoft® windows® operating system,57344,10.0.22621.3527 (winbuild.160101.0800),10.0.22621.3527,,pe64_amd64,False,10.0.22621.3527,10.0.22621.3527,989588888,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,77439787f11fa7aed64492b618fa3b45c33db735,True,c:\windows\system32\searchindexer.exe,SearchIndexer.exe,.exe,2049-09-07 13:15:41,windows® search,966656,7.0.22621.3672 (winbuild.160101.0800),7.0.22621.3672,,pe64_amd64,False,7.0.22621.3672,7.0.22621.3672,989535184,1033,
Unassociated,0000f519feec486de87ed73cb92d3cac802400000000,2024-06-30 15:47:19,eee7a777182197096f4d0101ca08e530d59825c1,True,c:\windows\system32\securebootencodeuefi.exe,SecureBootEncodeUEFI.exe,.exe,2002-07-14 22:46:52,microsoft® windows® operating system,118784,10.0.22621.3733 (winbuild.160101.0800),10.0.22621.3733,,pe64_amd64,False,10.0.22621.3733,10.0.22621.3733,989788440,1033,
