KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/parport.sys,2024-06-30 15:47:46,2043-04-22 13:52:03,2022-05-07 05:19:04,parport.sys,True,True,True,167515,Microsoft Corporation,4068c67512e2ff54caa868c9b6459de526635ca2,,8650778,10.0.22621.1,135168,,Microsoft® Windows® Operating System,10.0.22621.1,parport,
c:/windows/system32/drivers/partmgr.sys,2024-06-30 15:47:46,2039-01-28 15:19:56,2024-05-23 02:17:45,partmgr.sys,True,True,True,266704,Microsoft Corporation,6e7aba5140e5e8ceab3d4909d98afac8bd74b5c7,,8651034,10.0.22621.2506,208896,,Microsoft® Windows® Operating System,10.0.22621.1,partmgr,
c:/windows/system32/drivers/passthruparser.sys,2024-06-30 15:47:46,2051-06-13 20:03:10,2024-05-23 01:23:02,passthruparser.sys,True,True,True,131559,Microsoft Corporation,d5bffb42941a0351afc03266d0943f27ef441e0e,,8650778,10.0.22621.1,65536,,Microsoft® Windows® Operating System,10.0.22621.1,passthruparser,
c:/windows/system32/drivers/pci.sys,2024-06-30 15:47:46,2101-06-28 00:50:30,2024-06-29 04:49:54,pci.sys,True,True,True,637756,Microsoft Corporation,43cc5587bc7d10cfc18bad0e366121942be529fb,raptorlakepch-ssystem.inf_amd64_8155b85580014d4f,8651034,10.0.22621.3672,573440,oem7.inf,Microsoft® Windows® Operating System,10.0.22621.1,pci,
c:/windows/system32/drivers/pciide.sys,2024-06-30 15:47:46,2077-11-17 10:16:55,2024-05-23 02:17:16,pciide.sys,True,True,True,113319,Microsoft Corporation,50f2bc04aed31ec75abc7bf0fed2481ee0c8c9f9,,8650778,10.0.22621.2506,45056,,Microsoft® Windows® Operating System,10.0.22621.2506,pciide,
c:/windows/system32/drivers/pcip.sys,2024-06-30 15:47:46,2046-05-24 22:14:04,2024-06-29 15:24:54,pcip.sys,True,True,True,158450,Microsoft Corporation,276e630f06778aaa1aeb4eafc0fea54bc928e87b,,8650778,10.0.22621.1,102400,,Microsoft® Windows® Operating System,10.0.22621.1,pcip,
c:/windows/system32/drivers/pcmcia.sys,2024-06-30 15:47:46,2045-04-19 21:05:49,2022-05-07 05:19:01,pcmcia.sys,True,True,True,171983,Microsoft Corporation,cb4001bb3b1545c08a0f509b60ed4d105106e882,,8650778,10.0.22621.1,147456,,Microsoft® Windows® Operating System,10.0.22621.1,pcmcia,
c:/windows/system32/drivers/pcw.sys,2024-06-30 15:47:46,2078-03-11 01:52:48,2024-05-23 02:17:44,pcw.sys,True,True,True,143750,Microsoft Corporation,b235917b17a521785c5aca84b3ff8c6e110a3d13,,8651034,10.0.22621.2506,90112,,Microsoft® Windows® Operating System,10.0.22621.2506,pcw,
c:/windows/system32/drivers/pdc.sys,2024-06-30 15:47:46,2054-02-03 15:53:19,2024-06-29 04:49:55,pdc.sys,True,True,True,223219,Microsoft Corporation,95062432086968c8a9126746bce4daa333fca42a,,8651034,10.0.22621.3672,200704,,Microsoft® Windows® Operating System,10.0.22621.1,pdc,
c:/windows/system32/drivers/peauth.sys,2024-06-30 15:47:46,1995-01-09 08:45:12,2024-06-29 04:49:56,peauth.sys,True,True,True,897674,Microsoft Corporation,a9b8ac5064d413046806a8948f1cb21954cda5a6,,8650778,10.0.22621.3527,856064,,Microsoft® Windows® Operating System,10.0.22621.3527,peauth,1.15
